contractAddress,Mythril_Labels,Mythril_AnalysisTime,Mythril_SWC_Code,Mythril_SWC_Title,Mythril_DASP_Rank,Mythril_DASP_Title
41fd7d5882feed3cc226c5754ce74697,['error'],1.281608144,['error'],['error'],['error'],['error']
51c7ce3370b12d978e9191bc04154abb,['110'],6.304329593,[],[],[],[]
bded30291f886de346413d4e4e1de4ba,"['116', '101', '115', '110']",378.933042319,[],[],[],[]
efd7ece9d97357eee3ee7bd746b1c858,"['105', '120', '107', '110']",374.204061979,[],[],[],[]
ffeac25177f5c45eaac5cc835aff448e,"['101', '115', '114', '105']",302.773181543,[],[],[],[]
1b66281a9167d5a467a76fe0144325c3,"['110', '107', '113']",200.714936939,[],[],[],[]
92cf79d9b486c810a1f9b5cbd3d9da70,safe,343.572445587,[],[],[],[]
776db1c99d75c11ee0b71ff399dec3f4,['error'],1.220847765,['error'],['error'],['error'],['error']
83f6dea6686e660fcc648f7a601df9dc,['110'],2172.964085602,[],[],[],[]
7be319d8a6c96e4f2e152755c24511dd,['110'],1216.835099032,[],[],[],[]
8cbfd6c3c06ade329197f2cbe8060738,"['110', '116', '107']",1262.468804764,[],[],[],[]
d5f5425b9bdb4fccb5b12cdb18cacc58,"['110', '107', '113']",309.301038028,[],[],[],[]
4a73f761ebd052a751692461d0e8a8d9,['error'],1.248037120,['error'],['error'],['error'],['error']
a972f8fb1fe8d854b46bd92c83f1df55,"['104', '105', '114', '107']",320.916195864,[],[],[],[]
78db6c4c072afbb7e376ca3546055073,['error'],1.139177997,['error'],['error'],['error'],['error']
23ab3ede29610bd47e71137a5018158e,safe,641.713020188,[],[],[],[]
2f505ec9f7c5ee7ee83c3dfbc5a475a4,"['110', '107']",14.097364567,[],[],[],[]
45180feebe0c5be0bc8e0cf76f5eb5b1,['error'],1.079323265,['error'],['error'],['error'],['error']
547c67d8883d20eb31cf8f956213bcc5,error,13.598617245,[],[],[],[]
bd9cbb24db812bf503b29a78927acb7b,"['110', '107', '113']",309.567541879,[],[],[],[]
9c3ba5becc274f3d310f6dafbd8b5aea,['error'],1.162559540,['error'],['error'],['error'],['error']
